Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0.546,-70.8049,-32,-3.063,0.086311,
0.548,-70.6456,-25,-3.092,0.083022,
0.55,-70.5821,-20.6,-31.47,0.030933,
0.552,-70.5602,-20,-14.946,0.003733,
0.554,-70.5443,-18.7,6.948,0,
0.556,-70.5406,-18.8,9.226,0.003288,
0.558,-70.5058,-18.3,13.762,0.026577,
0.56,-70.4601,-15.5,-1.202,0.028711,
0.562,-70.3783,-12.6,10.572,0.047733,
0.564,-70.2483,-9.8,12.568,0.063999,
0.566,-70.0896,-8.3,8.589,0.086222,
0.568,-69.89,-7.4,11.239,0.105777,
0.57,-69.6495,-6.8,4.21,0.123733,
0.572,-69.3767,-6.5,9.741,0.14,
0.574,-69.0575,-5.9,14.904,0.168711,
0.576,-68.7035,-4.5,10.71,0.183377,
0.578,-68.3202,-3.9,3.719,0.189333,
0.58,-67.8832,-4.3,14.012,0.219644,
0.582,-67.4181,-3.5,6.756,0.234311,
0.584,-66.9432,-4,3.285,0.244711,
0.586,-66.4446,-2.9,1.922,0.250044,
0.588,-65.9679,-2.6,-8.542,0.231111,
0.59,-65.4851,-3.6,4.108,0.235466,
0.592,-65.0249,-2.8,-7.714,0.225155,
0.594,-64.6269,-3.5,-16.312,0.205599,
0.596,-64.2705,-2.9,-13.569,0.1736,
0.598,-64.0111,-2.8,-29.296,0.111199,
0.6,-63.8127,-3.3,-10.808,0.085155,
0.602,-63.7059,-2.9,-25.056,0.041244,
0.604,-63.7169,-3.2,-31.285,-0.005955,
0.606,-63.7853,-3.1,-19.097,-0.041777,
0.608,-63.9488,-3,-25.543,-0.097066,
0.61,-64.171,-3.9,-8.947,-0.118311,
0.612,-64.4566,-2.8,-16.527,-0.149688,
0.614,-64.8418,-3.8,-25.678,-0.195911,
0.616,-65.2727,-4.3,-13.516,-0.221333,
0.618,-65.7536,-4.6,-12.028,-0.248444,
0.62,-66.2859,-5.4,-7.243,-0.268622,
0.622,-66.851,-5.4,-8.324,-0.285866,
